"brukercode","acquisition_date","acquisition_time"
"c06f3f7b_4ce6_459e_b7fc_7ad0f92b1695","2015-12-09","12:50:22"
"d77f6ef0_a430_42f6_b6b0_890c7bf85041","2015-12-09","12:49:59"
"01ae0629_b9b5_41ac_a712_37f45e5a7b2c","2015-12-17","10:39:49"
"3b30ffd9_3a8f_47c0_9cd8_135996de0f74","2015-12-17","10:38:33"
"adc50f7e_c8a1_4854_bc03_2cac27b9601b","2015-12-17","10:37:35"
"08d333b7_9dba_404b_b236_cd7243c88cde","2015-12-03","14:24:55"
"52231518_f3a1_4dc9_a770_ca6edaa5f393","2015-12-03","14:24:09"
"b16bf8b3_2c77_4566_bd1e_e65f524363d2","2015-12-03","14:25:53"
"1e2c78e7_c5aa_4b92_a39e_49b951ba1acd","2015-12-10","13:22:27"
"1e80bef9_dffe_4f24_a77d_73a719516ab6","2015-12-10","13:23:07"
"2ba00e20_91f4_4d96_9e7d_76390180bae5","2015-12-10","13:23:27"
"36fba3e4_306a_48e7_ae40_d5ea20a8196b","2015-12-10","13:23:40"
"445c7085_3199_41d6_9615_8973c264bd98","2015-12-10","13:23:23"
"5961b36b_4c42_47d9_b8a5_ac203735b236","2015-12-10","13:22:10"
"59971d95_05c1_4b4e_8af1_695e6d036b8d","2015-12-10","13:22:46"
"5f66e8e8_a73d_4bbf_b21f_f3cad8b117a0","2015-12-10","13:23:11"
"9214cf45_e64d_4144_ace8_c9957ee2911d","2015-12-10","13:22:23"
"988d650c_020e_4ba3_a87d_ead78dae45c4","2015-12-10","13:23:00"
"aaa104fd_209a_448c_94f3_eaa09d4b8d7c","2015-12-10","13:23:17"
"ad3a363d_1075_4d2e_bff0_ca18599911f5","2015-12-10","13:21:52"
"f8f4cde5_caf1_415b_94e5_34710e475e9a","2015-12-10","13:22:18"
"fd5b7c29_a654_4d68_8f52_9e95eae2a1b3","2015-12-10","13:22:34"
"fd67b8e6_6677_4fe4_b376_4eeebe68c0ac","2015-12-10","13:23:54"
"28fe1540_cef3_4039_92bb_2db8ff3c00e1","2015-12-08","17:02:20"
"6d01ec8f_8292_4e77_a885_5c6875c6a5a4","2015-12-08","17:01:11"
"7229075f_38f8_40ba_b165_2c23dc75c848","2015-12-08","17:01:45"
"7b221f1d_9204_4053_b1e5_4602aa43a20b","2015-12-08","17:03:10"
"de1f9aeb_7487_4b92_b6ee_f02847274083","2015-12-08","17:03:49"
"13100493_5891_40c7_81d1_89734ce8ac38","2015-11-22","09:45:40"
"143a7cf5_41f5_482c_808a_a870e1abce3f","2015-11-24","11:00:57"
"3a2a6a81_ca2a_4bae_887a_eac85c755f9d","2015-11-24","11:02:11"
"04e8de1d_e2bd_44f3_862e_103ee0b1fd1f","2015-12-16","16:14:13"
"16e9bc6f_d500_41bc_bbcf_052b15603b68","2015-12-16","16:13:36"
"6fa0ecc7_ce9a_433d_86ca_79cf267e7d50","2015-12-16","16:15:07"
"7a347e9f_5ebb_495f_b7cc_5b995f5866f9","2015-12-16","16:10:40"
"8bb44bcc_728b_4dc0_b504_153c28740754","2015-12-16","16:12:01"
"a1137c6a_a401_435c_af5f_275d8ebd8660","2015-12-16","16:12:42"
"b4e38619_a2d2_4c98_a9fb_be3a33ba727e","2015-12-16","16:11:26"
"190c8f61_7d82_4267_9335_9a4f4c5b5a72","2015-11-25","13:05:02"
"36ce8b78_0ae8_4c04_9ad1_c791d3215379","2015-11-25","13:05:33"
"58f03eab_02f8_4831_994a_6dd80adbb602","2015-11-25","13:05:41"
"95caef65_3276_4fbe_adbe_351666f1307e","2015-11-25","13:04:46"
"a1b2f78d_f900_41b2_b79d_14b5b60276e9","2015-11-25","13:05:29"
"a1d905a7_50a0_4915_8631_17256b1b3d5e","2015-11-25","13:05:12"
"bac51b4c_3718_43f5_ad24_3b4d92f23be9","2015-11-25","13:04:38"
"cb9bd65b_cdd6_494d_ab52_4f0cb7d545fa","2015-11-25","13:04:42"
"f57d572e_44e4_48a3_9747_8802d6297024","2015-11-25","13:05:07"
"f73c80ee_03ed_4ee1_93c5_3543d3b9b4d7","2015-11-25","13:04:35"
"2210db13_32d3_410a_8808_1797da610dc0","2015-12-19","09:51:59"
"ac244325_63ee_4d58_be19_8793711fe08a","2015-12-19","09:51:23"
"34f7d6ce_ce89_491f_9dbb_76f580282c8e","2015-12-07","12:09:27"
"3943eda1_006f_4665_9288_4aeda0b6f7ef","2015-12-07","12:07:06"
"4a004bfd_7036_40ca_bd5d_86f7cdc4c3d0","2015-12-07","12:13:17"
"ab4cfab3_97bf_4d65_a43d_53278d305d6e","2015-12-07","12:11:38"
